Student_ID,Student_Name,Gender,Age,Department,Year,City,Study_Hours_Per_Day,Attendance_Percentage,Assignment_Score,Internal_Marks,Sleep_Hours,Screen_Time_Hours,Commute_Time_Minutes,Previous_GPA,Extracurricular_Hours,Internet_Access,Internet_Quality,Hostel,Scholarship,Study_Method,Stress_Level,Fees_Paid,Enrollment_Date,Last_Exam_Date,Internship,Projects_Completed,Final_Score,Grade,Pass_Fail,Placement_Status,Starting_Salary_LPA,Library_Books_Issued
108497,Vivek Gupta,Female,19.0,Electronics,1st Year,Mumbai,6.76,60.11,48.91,76.66,8.44,5.24,23.9,8.57,1.02,Yes,Good,Yes,No,Online,1.55,Yes,2023-02-26,2023-09-06,No,4,71.93,A,Pass,Higher Studies,,6
104047,Vivaan Mehta,Female,23.0,Computer Science,2nd Year,Coimbatore,7.19,65.25,95.65,65.09,4.98,3.41,49.8,7.65,7.24,Yes,Average,Yes,No,self-study,4.47,Yes,2022-10-18,2023-03-03,No,2,80.93,A+,Pass,Placed,8.76,4
108297,Vivaan Das,Female,22.0,Business Administration,Final Year,Pune,3.07,100.0,51.61,61.09,5.97,6.7,39.9,5.24,0.83,Yes,Poor,No,Yes,Classroom,4.92,Yes,2021-06-12,2022-02-14,No,4,56.42,C,Pass,Placed,9.47,10
107360,Priya Iyer,Male,18.0,Computer Science,Final Year,Mumbai,6.31,81.96,62.44,67.83,7.66,4.98,30.8,7.72,3.26,Yes,Good,Yes,Yes,Self Study,4.71,Yes,2023-12-21,2024-09-20,Yes,5,69.99,B,Pass,Not Placed,,4
110255,Meera Gupta,Male,17.0,Commerce,2nd Year,Kolkata,4.41,82.09,65.02,59.06,8.05,11.49,79.2,5.83,0.59,Yes,GOOD,Yes,No,Mixed,7.1,Yes,2023-10-12,2024-06-25,No,1,58.39,C,Pass,Higher Studies,,5
111684,Aarav Iyer,Female,22.0,Computer Science,3rd Year,Delhi,6.04,71.09,60.62,69.45,7.25,5.11,68.3,5.73,3.13,Yes,Poor,Yes,No,Online,4.82,Yes,2023-08-25,2024-02-16,No,2,86.25,A+,Pass,Placed,7.3,10
111986,Karan Kapoor,Female,17.0,Computer Science,3rd Year,Hyderabad,3.19,82.87,70.61,56.12,9.13,3.34,28.2,6.97,4.51,No,Good,No,Yes,Online,1.08,Yes,2025-07-29,2026-04-21,No,3,72.02,A,Pass,Not Placed,,7
109559,Aman Das,Male,25.0,Computer Science,Final Year,Bangalore,0.5,62.21,87.51,57.97,5.69,5.15,28.2,7.11,3.86,Yes,Excellent,No,No,Self Study,3.09,Yes,2024-01-26,2024-06-04,No,2,66.94,B,Pass,Not Placed,,7
111303,Riya Kapoor,Male,20.0,Commerce,Final Year,Mumbai,7.46,72.76,55.76,48.59,7.66,4.57,53.3,7.88,6.78,Yes,Excellent,Yes,No,Coaching,3.69,No,2025-03-23,2025-07-15,No,0,69.23,B,Pass,Looking for Job,,4
102341,Rahul Kapoor,Female,23.0,Computer Science,2nd Year,Coimbatore,4.7,66.99,56.36,85.09,6.71,4.88,37.5,8.63,4.61,Yes,Excellent,No,No,Mixed,3.54,Yes,2021/12/08,2022/07/04,Yes,2,74.86,A,Pass,Placed,4.13,8
103695,Neha Gupta,Male,24.0,Computer Science,1st Year,Kochi,8.49,66.9,77.99,67.48,8.25,5.22,38.3,7.14,6.08,Yes,Average,Yes,No,Mixed,3.96,Yes,2025-06-14,2025-11-13,No,1,81.28,A+,Pass,Looking for Job,,4
106599,Isha Khan,Female,17.0,Business admin,2nd Year,Kolkata,6.26,100.0,90.99,56.08,6.34,7.89,49.9,7.16,3.15,Yes,Average,No,No,Classroom,6.42,Yes,2025-05-21,2025-10-01,No,4,75.41,A,Pass,Looking for Job,,10
108516,Kabir Verma,Female,18.0,Information Technology,3rd Year,Pune,3.39,71.08,85.28,55.7,4.94,2.78,28.1,4.07,4.12,Yes,Average,No,No,Online,4.0,Yes,2022-01-23,2022-09-08,No,3,72.79,A,Pass,Not Placed,,12
110990,Priya Khan,Female,20.0,Business Administration,1st Year,Mysore,9.1,91.41,50.18,68.34,6.98,3.81,65.3,7.59,2.61,Yes,Average,Yes,No,Online,3.87,No,2025-07-29,2026-04-15,No,5,82.92,A+,Pass,Higher Studies,,6
107417,Karan Khan,Female,18.0,Mechanical,2nd Year,Mumbai,4.69,100.0,76.35,65.63,7.58,9.59,48.0,8.14,1.89,Yes,Good,No,Yes,Self Study,4.64,Yes,2024-02-14,2024-05-23,No,1,60.98,B,Pass,Not Placed,,7
100136,Aarav Das,Male,23.0,Computer Science,3rd Year,Coimbatore,4.93,69.13,54.42,80.34,7.89,8.17,81.2,7.19,3.28,Yes,Average,Yes,No,Coaching,4.44,Yes,2023-07-25,2023-11-21,Yes,3,68.46,B,Pass,Not Placed,,4
100451,Vivaan Kapoor,Female ,21.0,COMMERCE,Final Year,Mysore,7.33,78.1,74.84,92.14,4.36,6.81,86.8,6.04,2.7,Yes,Good,No,No,Self Study,7.65,Yes,26/07/2022,03/03/2023,No,3,90.09,A+,Pass,Looking for Job,,9
108698,Neha Malhotra,Male,23.0,Information Technology,2nd Year,Mysore,7.32,80.53,67.12,62.84,4.71,4.78,75.4,7.09,0.74,Yes,Average,No,No,Classroom,7.76,Yes,2025-05-12,2025-11-15,No,2,77.06,A,Pass,Placed,5.18,9
100625,Reyansh Reddy,Female,19.0,Computer Science,1st Year,Kolkata,7.1,87.98,87.23,71.79,6.99,6.48,51.7,6.52,5.74,Yes,Good,No,No,Mixed,6.84,Yes,2022-12-05,2023-07-26,No,3,76.5,A,Pass,Placed,2.4,7
108418,Meera Iyer,Female,25.0,Computer Science,3rd Year,Pune,6.95,51.09,87.02,68.78,6.85,6.16,73.0,5.73,0.0,Yes,Average,Yes,No,Mixed,3.34,Yes,2023-08-26,2024-01-12,Yes,3,81.88,A+,Pass,Not Placed,,6
108270,Sneha Sharma,Male,22.0,Computer Science,Final Year,Kochi,4.79,81.35,65.42,67.06,7.75,5.3,19.7,7.12,4.3,Yes,Good,Yes,No,Classroom,1.73,Yes,2025-02-10,2025-09-26,Yes,2,65.66,B,Pass,Placed,5.48,9
108650,Arjun Sharma,,20.0,Mechanical,1st Year,kochi,8.17,85.37,67.5,57.28,8.26,6.32,67.7,7.84,3.12,Yes,Good,No,No,Online,5.53,Yes,2023-07-15,2023-11-24,Yes,4,87.82,A+,Pass,Placed,2.4,7
100380,Pooja Shetty,Male,23.0,Data Science,Final Year,Chennai,4.46,47.72,89.61,42.42,8.23,8.0,37.7,8.05,3.09,No,Average,No,No,Coaching,1.0,Yes,2023-11-30,2024-04-16,No,2,62.79,B,Pass,Placed,3.17,7
105217,Kavya Singh,Male,24.0,Commerce,1st Year,Coimbatore,5.68,100.0,49.8,66.73,6.08,4.24,32.7,7.67,5.46,Yes,Average,Yes,No,Self Study,8.83,No,2023-01-01,2023-04-24,Yes,2,54.19,C,Pass,Placed,7.18,13
106922,Pooja Nair,Other,17.0,Commerce,Final Year,Kolkata,8.46,65.72,71.43,80.05,7.65,6.74,73.0,8.71,4.61,Yes,Excellent,Yes,No,Online,6.7,Yes,2023-05-25,2023-12-19,Yes,1,75.71,A,Pass,Not Placed,,5
111602,Isha Kapoor,Female,23.0,Mechanical,2nd Year,Mumbai,5.72,69.34,99.64,63.35,6.24,10.9,49.2,5.6,2.35,Yes,Excellent,Yes,No,Online,9.29,Yes,2023-06-08,2024-01-21,Yes,2,76.57,A,Pass,Placed,4.64,7
107031,Karan Verma,Male,25.0,Computer Science,Final Year,Hyderabad,7.4,93.16,75.61,68.5,6.34,7.61,50.4,7.36,3.15,Yes,Average,Yes,No,Classroom,7.49,Yes,04/02/2022,18/11/2022,No,3,79.76,A,Pass,Placed,3.69,6
108665,Karan Shetty,Female,19.0,Mechanical,3rd Year,Bangalore,7.73,77.02,89.08,43.93,5.6,3.51,56.8,6.88,3.39,Yes,Excellent,No,No,Self Study,7.02,Yes,2023-08-31,2024-04-02,Yes,2,72.89,A,Pass,Placed,3.59,8
103729,Kabir Iyer,Male,24.0,Information Technology,1st Year,Mysore,5.58,67.53,64.73,71.69,6.66,6.05,65.4,7.3,3.84,Yes,Good,No,No,Mixed,3.64,Yes,2023-09-25,2024-06-01,Yes,4,71.37,A,Pass,Not Placed,,11
110524,Arjun Khan,Female,18.0,Computer Science,1st Year,Pune,4.45,81.18,53.8,72.45,5.15,3.26,53.6,8.86,2.75,Yes,Good,Yes,No,,5.38,No,2023-04-26,2024-01-03,No,4,69.23,B,Pass,Placed,3.36,8
102772,Vivaan Sharma,Male,25.0,Commerce,Final Year,Mumbai,6.49,90.34,61.66,57.92,4.55,2.96,54.8,5.91,4.23,No,Average,No,No,Self Study,5.36,Yes,2024-03-26,2024-11-17,No,4,71.86,A,Pass,Not Placed,,9
108737,Aisha Shetty,Male,18.0,Mechanical,1st Year,Delhi,5.99,56.4,43.69,68.3,4.88,7.43,48.4,8.43,2.4,Yes,Good,Yes,No,MIXED,6.03,Yes,2024-10-11,2025-03-07,Yes,5,73.82,A,Pass,Not Placed,,13
108356,Reyansh Joshi,MALE,23.0,Information Technology,2nd Year,Coimbatore,3.7,69.02,77.18,85.51,5.7,4.67,71.7,6.14,1.89,Yes,Good,No,Yes,mixed,6.9,Yes,2023-11-23,2024-08-20,Yes,4,55.73,C,Pass,Not Placed,,4
106730,Vivek Iyer,Male,17.0,Information Technology,1st Year,Mysore,4.13,96.95,75.8,79.77,5.98,5.49,65.5,5.44,1.88,Yes,Average,No,No,Classroom,7.62,No,2025-02-06,2025-09-24,No,4,73.94,A,Pass,Placed,8.66,9
105968,Arjun Singh,Male,25.0,Data Science,1st Year,Pune,6.95,81.79,63.59,67.75,4.53,6.37,42.5,7.37,5.88,Yes,Excellent,No,Yes,Classroom,6.35,Yes,2022-12-16,2023-04-20,No,1,76.16,A,Pass,Not Placed,,9
110314,Rahul Nair,Male,19.0,Mechanical,3rd Year,Mumbai,5.65,79.12,75.17,60.83,6.63,6.12,47.6,9.15,0.0,Yes,GOOD,No,No,Classroom,5.82,Yes,2024-01-15,2024-07-16,No,5,65.18,B,Pass,Placed,4.86,8
105904,Kabir Iyer,Female,18.0,Commerce,2nd Year,Kolkata,2.71,94.57,78.12,65.56,7.15,4.19,46.4,8.95,4.36,No,Excellent,No,No,Classroom,4.31,Yes,2021/12/24,02/09/2022,Yes,5,85.24,A+,Pass,Not Placed,,11
107423,Priya Mehta,Male,23.0,Data Science,1st Year,Mysore,5.0,62.59,63.57,28.25,6.53,3.53,55.2,8.57,6.22,Yes,Good,No,Yes,Coaching,3.5,Yes,2022-02-08,2022-08-22,Yes,1,56.56,C,Pass,Higher Studies,,8
107797,Neha Rao,Female,17.0,Information Technology,1st Year,Kochi,4.27,64.98,92.33,65.3,7.23,5.3,5.0,8.05,2.39,No,Good,No,No,Classroom,4.27,Yes,2023-01-23,2023-08-31,Yes,3,67.28,B,Pass,Not Placed,,6
110987,Nisha Singh,Female,19.0,Commerce,3rd Year,Hyderabad,4.17,79.69,74.58,58.44,7.95,4.81,70.0,8.23,3.99,Yes,Good,Yes,Yes,Classroom,3.96,Yes,2024-12-20,2025-05-14,No,5,73.19,A,Pass,Looking for Job,,5
109527,Diya Patel,Male,20.0,Information Technology,1st Year,Kochi,7.79,52.9,59.71,87.81,4.69,6.84,77.1,5.87,3.61,Yes,Good,No,Yes,Classroom ,8.47,Yes,2021-09-13,2022-01-16,No,5,74.19,A,Pass,Not Placed,,11
105810,Meera Verma,Male,22.0,Commerce,2nd Year,Chennai,3.81,83.66,86.77,77.25,9.18,2.66,63.0,6.74,3.48,Yes,Excellent,Yes,Yes,Classroom,3.34,Yes,2021-09-09,2021-12-14,Yes,5,79.03,A,Pass,Not Placed,,10
101140,Vivek Reddy,Female,21.0,Mechanical,3rd Year,Pune,3.49,86.01,,79.12,,10.48,5.0,6.28,4.29,Yes,Average,No,Yes,Online,5.01,Yes,2023-11-15,2024-08-11,No,3,82.78,A+,Pass,Looking for Job,,9
108840,Meera Sharma,Other,21.0,Data Science,2nd Year,Kolkata,2.85,78.88,75.74,86.16,6.74,7.0,60.5,7.48,1.76,Yes,Average,No,No,Mixed,5.72,Yes,2022-05-20,2022-11-09,Yes,1,68.27,B,Pass,Not Placed,,8
105350,Pooja Patel,Male,23.0,Electronics,Final Year,Kochi,3.15,86.56,69.89,70.19,8.1,6.96,87.1,6.35,3.38,Yes,Good,No,Yes,,5.6,Yes,2024-05-01,2025-01-03,No,3,66.33,B,Pass,Looking for Job,,7
104004,Pooja Das,Female,25.0,Commerce,2nd Year,Pune,5.18,92.5,63.76,87.92,6.37,7.35,57.1,7.85,1.57,Yes,Average,Yes,No,Self Study,6.86,No,2024-09-01,2025-05-23,Yes,1,75.85,A,Pass,Not Placed,,7
107825,Riya Nair,Male,19.0,Business Administration,1st Year,Pune,4.35,87.8,64.92,64.62,8.29,3.8,84.4,4.52,4.5,Yes,Good,Yes,No,Coaching,5.42,Yes,2024-05-29,2024-12-03,No,2,69.22,B,Pass,Placed,6.32,3
101369,Reyansh Iyer,Male,19.0,Electronics,2nd Year,COIMBATORE,5.65,78.75,64.75,77.85,7.31,5.82,25.2,7.52,2.53,Yes,Good,Yes,No,Coaching,5.46,No,2023-04-22,2023-08-06,No,4,75.87,A,Pass,Not Placed,,7
103003,Isha Patel,Male,24.0,Information Technology,2nd Year,MUMBAI,5.75,94.98,59.99,67.79,6.65,3.98,26.1,6.51,3.37,Yes,Average,No,No,Classroom,4.21,Yes,2021-06-27,2022-03-07,Yes,3,63.43,B,Pass,Looking for Job,,6
102513,Diya Kapoor,Male,17.0,Commerce,Final Year,Kochi,2.37,76.13,54.61,66.01,8.95,6.19,43.0,7.08,0.0,Yes,Good,Yes,No,Online,6.35,Yes,2023-06-20,2023-11-23,No,1,67.29,B,Pass,Placed,6.36,5
102597,Neha Gupta,Male,17.0,Electronics,2nd Year,Bangalore,7.52,59.03,50.49,58.79,6.4,4.54,65.1,7.7,5.81,Yes,Good,No,No,Self Study,4.67,Yes,2021-12-15,2022-05-25,Yes,1,77.38,A,Pass,Placed,2.4,10
102537,Ishaan Gupta,Male,23.0,Electronics,1st Year,Pune,4.42,67.84,60.43,67.02,5.12,3.89,65.4,7.01,2.58,Yes,Good,No,Yes,Classroom,3.43,Yes,2021-09-03,2021-12-03,No,1,73.49,A,Pass,Not Placed,,10
110393,Priya Patel,Male,22.0,Commerce,Final Year,Kochi,5.38,84.3,86.15,72.25,5.49,5.52,39.9,6.3,2.39,Yes,Good,No,No,Online,3.63,Yes,2025-02-10,2025-10-27,Yes,3,85.76,A+,Pass,Not Placed,,7
101594,Ananya Joshi,FEMALE,19.0,Information Technology,2nd Year,Pune,7.07,68.37,40.76,53.07,6.66,6.52,50.1,8.56,3.94,No,Good,No,Yes,Classroom,4.38,Yes,2022-12-01,2023-03-04,No,1,67.41,B,Pass,Placed,8.49,6
101492,Riya Gupta,Female,22.0,Electronics,2nd Year,Bangalore,1.18,83.04,65.74,68.47,8.5,4.39,44.5,6.68,3.31,Yes,Excellent,No,Yes,Coaching,4.75,Yes,2021-12-20,2022-03-11,Yes,4,70.07,A,Pass,Not Placed,,13
105493,Priya Malhotra,Female,24.0,Electronics,3rd Year,delhi,6.44,85.02,79.62,86.5,8.08,6.51,15.9,6.27,4.12,Yes,good,No,No,Classroom,2.89,Yes,2024-01-14,2024-06-28,No,2,93.0,A+,Pass,Looking for Job,,6
